number,state,value,datetime_start,datetime_complete,activation,filters,kernel_size,strides,_Datetime_epoch_begin,_Datetime_epoch_end,_Trial_num,acc,loss,val_acc,val_loss,system_attrs__number
56,TrialState.COMPLETE,0.9616000007629395,2019-05-10 07:34:44.569267,2019-05-10 07:34:46.381860,relu,64,5,2,2019-05-10 07:34:45.657644,2019-05-10 07:34:46.230269,56,0.9452166666348776,0.19557712801297505,0.9616000007629395,0.14035703759193421,56
57,TrialState.COMPLETE,0.9759000005722046,2019-05-10 07:34:46.388617,2019-05-10 07:34:49.478077,relu,64,5,1,2019-05-10 07:34:48.123463,2019-05-10 07:34:49.323050,57,0.9693166666348775,0.10820194783608118,0.9759000005722046,0.08413410434722901,57
58,TrialState.COMPLETE,0.9764000004768372,2019-05-10 07:34:49.484957,2019-05-10 07:34:52.575164,relu,64,5,1,2019-05-10 07:34:51.221668,2019-05-10 07:34:52.418210,58,0.9705500000317892,0.10362613179683686,0.9764000004768372,0.07972397923469543,58
59,TrialState.COMPLETE,0.9720000005722046,2019-05-10 07:34:52.582433,2019-05-10 07:34:55.992528,relu,64,3,1,2019-05-10 07:34:54.480229,2019-05-10 07:34:55.833534,59,0.9648333333015442,0.12821283977031708,0.9720000005722046,0.09408477728366851,59
60,TrialState.COMPLETE,0.9199999995231628,2019-05-10 07:34:56.001732,2019-05-10 07:34:58.666465,linear,64,5,1,2019-05-10 07:34:57.519851,2019-05-10 07:34:58.509114,60,0.9158833333015441,0.29639806871414187,0.9199999995231628,0.28646493864059447,60
61,TrialState.COMPLETE,0.964599999332428,2019-05-10 07:34:58.673920,2019-05-10 07:35:00.497752,relu,64,5,2,2019-05-10 07:34:59.770368,2019-05-10 07:35:00.346530,61,0.9464333333651225,0.18689022996425628,0.964599999332428,0.13020139274597167,61
62,TrialState.COMPLETE,0.9737000003814698,2019-05-10 07:35:00.505062,2019-05-10 07:35:02.753456,relu,32,5,1,2019-05-10 07:35:01.817462,2019-05-10 07:35:02.599547,62,0.9626,0.13628753805160523,0.9737000003814698,0.09475523736476898,62
63,TrialState.COMPLETE,0.9799000007629395,2019-05-10 07:35:02.761702,2019-05-10 07:35:05.858049,relu,64,5,1,2019-05-10 07:35:04.504859,2019-05-10 07:35:05.704254,63,0.9739499999682109,0.09596440773208936,0.9799000007629395,0.06868356895446777,63
64,TrialState.COMPLETE,0.9202000005722046,2019-05-10 07:35:05.865932,2019-05-10 07:35:07.893314,linear,32,5,1,2019-05-10 07:35:07.063965,2019-05-10 07:35:07.742245,64,0.9158166666666666,0.2976805900891622,0.9202000005722046,0.2828291561126709,64
65,TrialState.COMPLETE,0.9808000007629395,2019-05-10 07:35:07.901020,2019-05-10 07:35:11.032835,relu,64,5,1,2019-05-10 07:35:09.639963,2019-05-10 07:35:10.869618,65,0.9726500000317891,0.09640549921592077,0.9808000007629395,0.06871315698623658,65
66,TrialState.COMPLETE,0.977600000667572,2019-05-10 07:35:11.042214,2019-05-10 07:35:14.294684,relu,64,5,1,2019-05-10 07:35:12.894703,2019-05-10 07:35:14.133287,66,0.9726,0.09980843182603519,0.977600000667572,0.07001757621765137,66
67,TrialState.COMPLETE,0.9783000007629394,2019-05-10 07:35:14.304078,2019-05-10 07:35:17.562951,relu,64,5,1,2019-05-10 07:35:16.162610,2019-05-10 07:35:17.393478,67,0.9725333333015442,0.0980983727812767,0.9783000007629394,0.07333332755565643,67
68,TrialState.COMPLETE,0.9801999992370606,2019-05-10 07:35:17.572337,2019-05-10 07:35:20.795503,relu,64,5,1,2019-05-10 07:35:19.433082,2019-05-10 07:35:20.641565,68,0.9713666666984558,0.10405318792263667,0.9801999992370606,0.07018795123100281,68
69,TrialState.COMPLETE,0.9783000004768372,2019-05-10 07:35:20.804010,2019-05-10 07:35:23.901214,relu,64,5,1,2019-05-10 07:35:22.542479,2019-05-10 07:35:23.746039,69,0.9724999999682109,0.10047981467048327,0.9783000004768372,0.07436813926696777,69
70,TrialState.COMPLETE,0.976800000667572,2019-05-10 07:35:23.909483,2019-05-10 07:35:27.071723,relu,64,5,1,2019-05-10 07:35:25.661064,2019-05-10 07:35:26.907323,70,0.9711166666984559,0.10489894140561422,0.976800000667572,0.07827788000106811,70
71,TrialState.COMPLETE,0.9777000004768371,2019-05-10 07:35:27.081841,2019-05-10 07:35:30.375289,relu,64,5,1,2019-05-10 07:35:28.968756,2019-05-10 07:35:30.211578,71,0.9713833333333334,0.10106481688817343,0.9777000004768371,0.0692557149887085,71
